"id","productName","price","description","picture","stock","categoryId"
17,Time To Shine,38.8,A radiant and full-of-life bouquet that shines on its own. Yellow and orange tones come together in a bouquet that will make you feel like the sun at its best.,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/bouquets%2Fopcion%20ramo%208.png?alt=media&token=bf2d0692-6a05-4fd7-8baf-1f4b8a899427,16,1
18,Wolf Soul,11.51,A wild and free bouquet that will transport you to a dreamy forest. Gray and green tones combine to create a bouquet that evokes the strength and spirit of a wolf.,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/bouquets%2Fopcion%20ramo%209.png?alt=media&token=be02041e-011d-43dd-9c06-2fe1a9a91d65,18,1
23,Marvellous,25,descripcion random,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/plants%2Fplanta%201.png?alt=media&token=cf0ce1bd-9f85-4568-8042-93d2af4e1ded,4,4
4,Kiss Me Slowly,87.46,A sensual and alluring plant that invites us to savor life's pleasures and indulge in the moment. Its soft petals and sweet fragrance inspire us to slow down and enjoy life's simple pleasures.,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/plants%2Fplanta%2012.png?alt=media&token=8e27dd0b-58f1-443d-b268-c2ce13ee95b4,3,4
7,Dancing with The Evil,11.39,"A resilient plant with dark leaves and thorny stems that symbolizes strength in the face of adversity. It dances with the evils of the world, embracing them as part of life's journey and showing us that even darkness can be beautiful",https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/plants%2Fplanta%203.png?alt=media&token=69a28aa0-316f-4e73-8b52-78803297c6f1,6,4
8,Lavander Sky,78.78,"A peaceful and calming plant that mirrors the hues of a serene sunset. Its sweet scent and delicate blooms invite us to slow down, breathe deeply, and appreciate the beauty of nature.",https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/plants%2Fplanta%204.png?alt=media&token=7a053937-fd66-4f08-8ede-05239f1aeef9,7,4
10,Hodor,42.12," A sturdy and dependable plant that stands tall and strong, just like the beloved Game of Thrones character it's named after. Its leaves provide shelter and nourishment, reminding us to be a reliable support system for those we care about.",https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/plants%2Fplanta%206.png?alt=media&token=386584be-906a-4f28-b99e-b13224ee742c,9,4
13,Sparkles,55.66, A vibrant and lively plant that radiates energy and positivity. Its sparkling leaves and colorful blooms remind us to embrace the joy and playfulness of life.,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/plants%2Fplanta%209.png?alt=media&token=2fe5d730-c740-4336-92ed-64a50c62e4ef,12,4
5,Our Big Deal,77.74,"Is the bouquet that symbolizes the greatness of an achievement accomplished, the determination to keep moving forward, and the excitement of a new beginning.",https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/bouquets%2Fopcion%20ramo%203.png?alt=media&token=89dd9254-22ee-4b88-abce-358fabb9d00a,4,1
2,Fall In Love,13.41,"A romantic and dreamy plant that captures the essence of falling in love. Its delicate flowers and sweet fragrance evoke feelings of passion and excitement, reminding us to cherish the beauty of love.",https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/plants%2Fplanta%2010.png?alt=media&token=1a8fb650-4a78-43b2-8c99-ee04d2a4b6f5,1,4
6,Morning-Glory,37.27,"A delicate and colorful flower that blooms in the early morning, bringing joy and beauty to any garden. Its petals unfurl like a smile, reminding us to start our day with positivity and optimism.",https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/plants%2Fplanta%202.png?alt=media&token=a40c52cc-f734-46c0-a76e-808d21c2cea6,5,4
9,Winter Is Comming,59.07," A hardy plant that endures the harshness of winter, reminding us of our own resilience and strength. Its branches reach upward, defying the chill and promising the return of spring.",https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/plants%2Fplanta%205.png?alt=media&token=a42eb477-e388-4112-9ee5-b6581de2cd6e,8,4
11,Moonligth,71.08," A mystical and enchanting plant that glows in the moon's light, inviting us to embrace the magic of the night. Its soft glow brings a sense of wonder and reminds us to look beyond the surface to discover the hidden beauty in life.",https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/plants%2Fplanta%207.png?alt=media&token=95565e5d-d85f-4d10-a191-fbb16fa35a4c,10,4
12,Metaverse,60.16,A futuristic and innovative plant that inspires us to explore new possibilities and push beyond our current limits. Its unique form and adaptability remind us to embrace change and seek out new experiences.,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/plants%2Fplanta%208.png?alt=media&token=41112d2f-c1cf-48b2-ac7d-a802211fb33e,11,4
